,English Comment,Italian Comment,English Score,Italian Score
0,You are a stupid idiot! ,Sei uno stupido idiota!,0.96069145,0.90451443
1,"Go away, I hate you so much. ","Vai via, ti odio così tanto.",0.76523775,0.5716857
2,"What a dumb, fat, ugly woman. ","Che donna stupida, grassa, brutta.",0.9288007,0.8540474
3,Never speak to me again you ugly piece of shit! ,Non parlarmi mai più tu brutto pezzo di merda! ,0.96426713,0.944597
4,"No he is an arrogant self serving immature idiot, get it right. ","No, è un idiota immaturo arrogante e egoista, fai bene. ",0.85850734,0.83334327
5,YOU SUCK PRESIDENT BIDEN!,FAI SCHIFO AL PRESIDENTE BIDEN!,0.8696708,0.76523775
6,This is a country full of fat assholes. ,Questo è un paese pieno di stronzi grassi.,0.93383175,0.83334327
7,Why do you have to be such a son of a bitch all the time. ,Perché devi essere un tale figlio di puttana tutto il tempo. ,0.9288007,0.91625386
8,You will never find friends because you are the most fucking boring person I have ever known. ,Non troverai mai amici perché sei la persona più fottutamente noiosa che abbia mai conosciuto. ,0.90451443,0.8364697
9,I hate you so much I could punch you in the face right now. ,Ti odio così tanto che potrei darti un pugno in faccia in questo momento.,0.90451443,0.85173553
10,"That class is full of the most annoying, stupid, and pathetic students I know. ","Quella classe è piena degli studenti più fastidiosi, stupidi e patetici che conosca.",0.85850734,0.37751234
11,That girl is just a SLUT and everyone knows it. ,Quella ragazza è solo una SLUT e tutti lo sanno. ,0.90451443,0.78207105
12,"You have no life, you fat fucking coward! ","Non hai vita, grasso fottuto codardo!",0.968226,0.93383175
13,It’s so simple… you’re just an idiot! ,È così semplice... sei solo un idiota! ,0.911035,0.89241093
14,What the hell is wrong with you? Don’t you have a brain at all? ,Cosa diavolo c'è di sbagliato in te? Non hai affatto un cervello? ,0.85333383,0.8252207
15,"Hey shit-head, stop being a piece of shit. This is your last warning or else. ","Ehi testa di merda, smettila di essere un pezzo di merda. Questo è il tuo ultimo avvertimento o altro. ",0.95048624,0.9563754
16,All women should be obedient or else they don’t deserve to have a life. ,"Tutte le donne dovrebbero essere obbedienti, altrimenti non meritano di avere una vita. ",0.68408644,0.6027529
17,I hope you die alone because you are the worst person I have ever met. ,Spero che tu muoia da solo perché sei la persona peggiore che abbia mai incontrato. ,0.8778702,0.8460273
18,You are a devil with evil on your mind constantly. ,Sei un diavolo con il male in mente costantemente. ,0.74954444,0.7105462
19,"You are so ugly, it is hard to look at. ","Sei così brutto, è difficile da guardare.",0.78207105,0.60254884
20,Fuck you fat whore! ,Vaffanculo puttana grassa! ,0.9817629,0.968226
21,"Go suck someone else's dick, you piece of shit. ","Vai a succhiare il cazzo di qualcun altro, sei un pezzo di merda. ",0.96069145,0.96426713
22,I never knew someone could be as stupid as you. ,Non ho mai saputo che qualcuno potesse essere stupido come te.,0.8778702,0.7761081
23,"Talking to her is a workout, she is so dumb it is painful. ","Parlare con lei è un allenamento, è così stupida che è doloroso.",0.7252971,0.5559701
